Value,Channel,Image_Source,ROI_Label
17,B,UV,black
19,B,UV,black
16,B,UV,black
18,B,UV,black
22,B,UV,black
17,B,UV,black
16,B,UV,black
12,B,UV,black
16,B,UV,black
15,B,UV,black
17,B,UV,black
16,B,UV,black
17,B,UV,black
15,B,UV,black
13,B,UV,black
17,B,UV,black
17,B,UV,black
13,B,UV,black
14,B,UV,black
16,B,UV,black
14,B,UV,black
18,B,UV,black
17,B,UV,black
15,B,UV,black
17,B,UV,black
13,B,UV,black
14,B,UV,black
16,B,UV,black
18,B,UV,black
11,B,UV,black
12,B,UV,black
16,B,UV,black
17,B,UV,black
20,B,UV,black
15,B,UV,black
15,B,UV,black
18,B,UV,black
17,B,UV,black
13,B,UV,black
12,B,UV,black
13,B,UV,black
15,B,UV,black
16,B,UV,black
14,B,UV,black
14,B,UV,black
16,B,UV,black
15,B,UV,black
19,B,UV,black
15,B,UV,black
14,B,UV,black
15,B,UV,black
15,B,UV,black
10,B,UV,black
15,B,UV,black
18,B,UV,black
16,B,UV,black
17,B,UV,black
13,B,UV,black
14,B,UV,black
18,B,UV,black
19,B,UV,black
15,B,UV,black
13,B,UV,black
17,B,UV,black
15,B,UV,black
15,B,UV,black
17,B,UV,black
17,B,UV,black
17,B,UV,black
11,B,UV,black
19,B,UV,black
18,B,UV,black
16,B,UV,black
13,B,UV,black
12,B,UV,black
18,B,UV,black
16,B,UV,black
13,B,UV,black
16,B,UV,black
16,B,UV,black
13,B,UV,black
18,B,UV,black
15,B,UV,black
13,B,UV,black
14,B,UV,black
14,B,UV,black
15,B,UV,black
17,B,UV,black
13,B,UV,black
11,B,UV,black
9,B,UV,black
14,B,UV,black
19,B,UV,black
14,B,UV,black
14,B,UV,black
13,B,UV,black
12,B,UV,black
15,B,UV,black
15,B,UV,black
11,B,UV,black
10,B,UV,black
11,B,UV,black
14,B,UV,black
15,B,UV,black
16,B,UV,black
16,B,UV,black
13,B,UV,black
11,B,UV,black
12,B,UV,black
12,B,UV,black
17,B,UV,black
12,B,UV,black
8,B,UV,black
14,B,UV,black
16,B,UV,black
16,B,UV,black
